53605.523312 12.5008 0.054
53605.533993 12.5436 0.055
53605.544539 12.5547 0.055
53605.554799 12.5786 0.055
53567.542858 12.497 0.055
53567.550067 12.495 0.055
53567.559382 12.4801 0.055
53567.566654 12.4925 0.055
53582.500125 12.4916 0.056
53582.507554 12.4895 0.056
53582.514973 12.477 0.056
53582.522412 12.5022 0.056
53646.419982 12.6618 0.058
53646.427146 12.6639 0.058
53646.434265 12.6345 0.058
53646.441341 12.6446 0.058
53647.437796 12.5098 0.058
53647.446574 12.516 0.058
53647.455242 12.5273 0.057
53647.463963 12.5703 0.059
53620.426843 12.4791 0.056
53620.432488 12.4695 0.056
53620.438215 12.4899 0.056
53620.443832 12.4812 0.056
53834.670242 12.6894 0.054
53834.682343 12.6824 0.053
53834.694467 12.6591 0.053
53834.706584 12.6243 0.053
53849.683291 12.5461 0.053
53849.694831 12.5029 0.053
53849.706321 12.499 0.053
53849.717880 12.494 0.053
53949.470087 12.5354 0.054
53949.478998 12.5745 0.054
53949.487871 12.5939 0.054
53949.496741 12.6066 0.054
53960.532151 12.5259 0.054
53960.543812 12.5068 0.054
53960.555449 12.4854 0.054
53960.567070 12.448 0.053
53917.522774 12.5238 0.055
53917.532242 12.4898 0.055
53917.541767 12.479 0.055
53917.551221 12.6433 0.056
53937.592342 12.4886 0.056
53937.601759 12.4863 0.056
53937.611197 12.4928 0.058
53937.620593 12.4996 0.058
53889.556950 12.6446 0.054
53889.567940 12.6118 0.053
53889.578907 12.5926 0.053
53889.589918 12.5773 0.053
53904.560377 12.4882 0.053
53904.567052 12.4733 0.053
53904.573701 12.4662 0.053
53904.580357 12.4741 0.053
53813.752400 12.5809 0.053
53813.759072 12.5694 0.053
53813.765693 12.5119 0.053
53813.772330 12.5436 0.053
53861.676412 12.6288 0.053
53861.687617 12.6086 0.053
53861.698786 12.574 0.053
53861.709962 12.5597 0.053
53881.712691 12.7147 0.058
53881.722592 12.6734 0.055
53881.732584 12.689 0.060
53881.742462 12.6109 0.056
54011.451262 12.49 0.055
54011.459925 12.5124 0.055
